date,name,code,Rural Urban,households,1,2,3,4,5,6,7,8
2011,Darlington,E06000005,Total,46670,15101,16657,7191,5352,1717,507,98,47
2011,County Durham,E06000047,Total,223803,70007,80984,36607,26074,7430,2118,404,179
2011,Hartlepool,E06000001,Total,40434,13392,13478,6629,4759,1526,469,107,74
2011,Middlesbrough,E06000002,Total,57203,17708,18554,9221,7220,2992,1084,239,185
2011,Northumberland,E06000057,Total,138534,41406,53502,20775,16422,4881,1232,226,90
2011,Redcar and Cleveland,E06000003,Total,59605,18735,21165,9738,7119,2132,557,117,42
2011,Stockton-on-Tees,E06000004,Total,79159,21986,27938,13583,10704,3700,925,203,120
2011,Gateshead,E08000037,Total,89154,29313,31486,14011,10277,2924,771,190,182
2011,Newcastle upon Tyne,E08000021,Total,117153,40337,36432,17610,13872,5344,2574,573,411
2011,North Tyneside,E08000022,Total,91295,30960,31879,14107,10722,2785,689,98,55
2011,South Tyneside,E08000023,Total,67167,23459,22431,10798,7492,2209,583,123,72
2011,Sunderland,E08000024,Total,119758,38096,40549,20372,14665,4294,1328,269,185
2011,Blackburn with Darwen,E06000008,Total,57353,17419,17082,8808,7307,3741,1957,595,444
2011,Blackpool,E06000009,Total,64367,24446,20833,9345,6399,2321,743,171,109
2011,Cheshire East,E06000049,Total,159441,47328,57990,25266,20969,5888,1589,276,135
2011,Cheshire West and Chester,E06000050,Total,141442,41841,51108,22381,18383,5617,1631,324,157
2011,Halton,E06000006,Total,53312,15833,17938,9272,7130,2289,663,128,59
2011,Warrington,E06000007,Total,85140,24534,29885,14347,11868,3388,893,142,83
2011,Cumbria,E10000006,Total,222042,71740,82130,31605,26121,7868,2014,389,175
2011,Bolton,E08000001,Total,116371,37091,37513,18430,14570,5373,2306,628,460
2011,Bury,E08000002,Total,78113,24263,26003,12647,9981,3454,1187,321,257
2011,Manchester,E08000003,Total,204969,72255,61144,31456,21743,10226,5375,1527,1243
2011,Oldham,E08000004,Total,89703,26790,28033,15000,11280,4681,2320,795,804
2011,Rochdale,E08000005,Total,87552,28183,27518,13687,10581,4447,2081,593,462
2011,Salford,E08000006,Total,103556,37751,33517,15597,10567,3908,1421,384,411
2011,Stockport,E08000007,Total,121979,38535,41329,18868,16015,5199,1509,352,172
2011,Tameside,E08000008,Total,94953,31037,30941,15765,11470,3805,1353,345,237
2011,Trafford,E08000009,Total,94484,28179,31108,15335,13262,4675,1416,302,207
2011,Wigan,E08000010,Total,136386,40053,47498,23861,17953,5283,1400,228,110
2011,Lancashire,E10000017,Total,496299,154167,174362,76454,60514,20765,7235,1685,1117
2011,Knowsley,E08000011,Total,61323,19041,18991,10794,8321,3070,893,145,68
2011,Liverpool,E08000012,Total,206515,80973,60213,30559,22422,8435,2851,704,358
2011,Sefton,E08000014,Total,117930,37820,39735,18512,14948,5054,1429,304,128
2011,St. Helens,E08000013,Total,75736,22694,26441,13094,9616,2988,706,144,53
2011,Wirral,E08000015,Total,140583,47329,46532,21818,16925,5796,1705,304,174
2011,East Riding of Yorkshire,E06000011,Total,143032,39276,57418,21535,18017,5105,1309,261,111
2011,"Kingston upon Hull, City of",E06000010,Total,112596,39788,35562,17174,13273,4540,1660,365,234
2011,North East Lincolnshire,E06000012,Total,69707,21793,25134,10699,8239,2748,837,194,63
2011,North Lincolnshire,E06000013,Total,70684,19420,26503,11570,8983,2924,971,205,108
2011,York,E06000014,Total,83552,25224,31228,12414,9977,3194,1152,267,96
2011,North Yorkshire,E10000023,Total,256594,74954,99465,37800,31256,9608,2764,506,241
2011,Barnsley,E08000016,Total,100734,29734,36871,16770,12530,3669,932,165,63
2011,Doncaster,E08000017,Total,126487,36104,45170,20979,16425,5569,1699,359,182
2011,Rotherham,E08000018,Total,108293,30902,38646,17826,14244,4506,1534,367,268
2011,Sheffield,E08000019,Total,229928,73315,77370,33761,28316,10429,4633,1156,948
2011,Bradford,E08000032,Total,199296,58934,60941,29949,25313,11834,7528,2355,2442
2011,Calderdale,E08000033,Total,88621,29023,30183,13197,10711,3548,1376,333,250
2011,Kirklees,E08000034,Total,173525,52553,58412,26257,22372,8076,3859,1103,893
2011,Leeds,E08000035,Total,320596,106739,108020,47243,37941,13176,5113,1311,1053
2011,Wakefield,E08000036,Total,140414,41640,50597,23340,17568,5293,1479,319,178
2011,Derby,E06000015,Total,102271,31578,33604,15537,13438,4983,2123,599,409
2011,Leicester,E06000016,Total,123125,36951,33618,19422,17970,8262,4422,1407,1073
2011,Nottingham,E06000018,Total,126131,45617,38283,18679,12803,6333,3108,789,519
2011,Rutland,E06000017,Total,15002,4111,6089,2217,1845,577,117,31,15
2011,Derbyshire,E10000007,Total,332637,96233,125403,52206,42347,12330,3200,617,301
2011,Leicestershire,E10000018,Total,267434,72496,98349,42179,37872,11980,3436,730,392
2011,Lincolnshire,E10000019,Total,306971,87130,121831,46343,36026,10964,3485,771,421
2011,Northamptonshire,E10000021,Total,287730,80100,104126,46075,39107,13174,3814,906,428
2011,Nottinghamshire,E10000024,Total,334303,94773,124469,53872,43328,13195,3561,734,371
2011,"Herefordshire, County of",E06000019,Total,78319,22540,29968,11451,9772,3317,978,196,97
2011,Shropshire,E06000051,Total,129674,37540,49377,19083,16308,5444,1497,296,129
2011,Stoke-on-Trent,E06000021,Total,107575,35357,35631,17258,12549,4452,1610,423,295
2011,Telford and Wrekin,E06000020,Total,66608,16793,23691,11579,9372,3666,1097,273,137
2011,Staffordshire,E10000028,Total,355263,98491,131081,57913,47742,14657,4090,851,438
2011,Warwickshire,E10000031,Total,231005,67054,83987,36098,30421,9673,2823,636,313
2011,Birmingham,E08000025,Total,410736,131200,115438,62424,50272,26367,15550,4806,4679
2011,Coventry,E08000026,Total,128592,40148,40638,20733,16646,6827,2558,617,425
2011,Dudley,E08000027,Total,129867,36652,45175,21746,17603,5877,1975,476,363
2011,Sandwell,E08000028,Total,121498,35935,35998,20756,16496,7177,3469,954,713
2011,Solihull,E08000029,Total,86056,25102,29037,13668,12583,4051,1213,267,135
2011,Walsall,E08000030,Total,107822,30771,35208,17410,14457,5958,2711,779,528
2011,Wolverhampton,E08000031,Total,102177,32876,31053,16224,13054,5708,2312,606,344
2011,Worcestershire,E10000034,Total,239717,67789,90409,36789,31330,9782,2730,567,321
2011,Bedford,E06000055,Total,63812,18396,21264,10534,8697,3236,1180,276,229
2011,Central Bedfordshire,E06000056,Total,104399,27030,37399,17957,15702,4747,1239,217,108
2011,Luton,E06000032,Total,74293,20319,20641,12413,10617,5292,3098,1004,909
2011,Peterborough,E06000031,Total,74023,21252,24505,11997,9868,3870,1706,455,370
2011,Southend-on-Sea,E06000033,Total,74678,24386,24848,11186,9501,3311,1076,236,134
2011,Thurrock,E06000034,Total,62353,16368,19584,11128,10184,3676,1054,246,113
2011,Cambridgeshire,E10000003,Total,251241,68780,91732,39226,35524,11551,3377,665,386
2011,Essex,E10000012,Total,581589,165217,206490,91273,82138,27123,7309,1397,642
2011,Hertfordshire,E10000015,Total,453817,128815,149100,73207,70454,23633,6679,1289,640
2011,Norfolk,E10000020,Total,372085,109134,146508,53939,43099,13825,4265,871,444
2011,Suffolk,E10000029,Total,310745,90013,118902,45188,38919,12953,3623,812,335
2011,Camden,E09000007,Total,97534,39531,28215,13085,10245,4095,1511,495,357
2011,City of London,E09000001,Total,4385,2472,1356,339,153,36,17,7,5
2011,Hackney,E09000012,Total,101690,35635,28827,16124,11336,5317,2645,808,998
2011,Hammersmith and Fulham,E09000013,Total,80590,30148,24049,11863,9029,3430,1422,364,285
2011,Haringey,E09000014,Total,101955,32524,29431,16563,12753,6454,2720,815,695
2011,Islington,E09000019,Total,93556,36240,30161,13394,8400,3388,1392,351,230
2011,Kensington and Chelsea,E09000020,Total,78536,36524,22823,8855,6348,2720,920,230,116
2011,Lambeth,E09000022,Total,130017,44691,39789,21164,14670,6211,2520,592,380
2011,Lewisham,E09000023,Total,116091,39680,34220,17931,14707,6253,2438,500,362
2011,Newham,E09000025,Total,101519,26536,22164,16502,15211,10089,6842,2167,2008
2011,Southwark,E09000028,Total,120422,40307,36090,20904,13688,5707,2681,670,375
2011,Tower Hamlets,E09000030,Total,101257,35047,30440,13223,10124,5575,4051,1493,1304
2011,Wandsworth,E09000032,Total,130493,42106,43894,19970,15575,5753,2307,506,382
2011,Westminster,E09000033,Total,105772,47893,31340,12507,8301,3580,1542,345,264
2011,Barking and Dagenham,E09000002,Total,69681,19215,18641,12616,10516,5414,2329,507,443
2011,Barnet,E09000003,Total,135916,37957,38861,23078,21249,9089,3926,997,759
2011,Bexley,E09000004,Total,92604,25789,28734,15633,14650,5523,1743,349,183
2011,Brent,E09000005,Total,110286,30616,26666,19007,16509,9124,5302,1565,1497
2011,Bromley,E09000006,Total,130862,40815,41993,21331,18166,6504,1592,314,147
2011,Croydon,E09000008,Total,145010,43043,43020,25094,20435,8706,3341,837,534
2011,Ealing,E09000009,Total,124082,35329,31666,21170,19108,9533,4811,1298,1167
2011,Enfield,E09000010,Total,119916,33359,33792,20930,19313,8215,3097,689,521
2011,Greenwich,E09000011,Total,101045,32370,28490,16256,13828,6166,2804,653,478
2011,Harrow,E09000015,Total,84268,19008,23449,14861,15376,6934,3235,820,585
2011,Havering,E09000016,Total,97199,28215,31228,16132,14344,5252,1532,320,176
2011,Hillingdon,E09000017,Total,100214,25290,29274,17348,16715,7337,2945,748,557
2011,Hounslow,E09000018,Total,94902,25985,26019,16929,14224,6999,3224,844,678
2011,Kingston upon Thames,E09000021,Total,63639,18198,19807,10964,9719,3516,1084,224,127
2011,Merton,E09000024,Total,78757,22294,23958,13311,11747,4818,1906,441,282
2011,Redbridge,E09000026,Total,99105,25228,25902,16873,16194,8660,4130,1137,981
2011,Richmond upon Thames,E09000027,Total,79835,26008,25479,12428,11198,3607,902,133,80
2011,Sutton,E09000029,Total,78174,23749,23697,13350,11593,4155,1272,242,116
2011,Waltham Forest,E09000031,Total,96861,28756,24330,16875,14428,7235,3536,935,766
2011,Bracknell Forest,E06000036,Total,45878,12707,15522,7648,7185,2074,576,115,51
2011,Brighton and Hove,E06000043,Total,121540,44294,39817,17285,13244,4822,1613,297,168
2011,Isle of Wight,E06000046,Total,61085,19957,23439,8333,6208,2182,746,147,73
2011,Medway,E06000035,Total,106209,29434,34837,18384,15493,5545,1908,388,220
2011,Milton Keynes,E06000042,Total,98584,25546,32859,17221,14896,5456,1837,477,292
2011,Portsmouth,E06000044,Total,85473,27471,27470,13514,10686,4422,1435,299,176
2011,Reading,E06000038,Total,62869,19237,20410,9955,8066,3189,1382,361,269
2011,Slough,E06000039,Total,50766,14447,12370,8563,7812,4160,2180,678,556
2011,Southampton,E06000045,Total,98254,33241,31029,14638,11705,4846,1920,530,345
2011,West Berkshire,E06000037,Total,62340,16123,22607,10190,9502,2875,822,154,67
2011,Windsor and Maidenhead,E06000040,Total,58349,16554,19740,9227,8683,2902,885,204,154
2011,Wokingham,E06000041,Total,60332,14084,21502,10094,10397,3172,826,171,86
2011,Buckinghamshire,E10000002,Total,200727,52065,70479,31471,30987,10805,3535,839,546
2011,East Sussex,E10000011,Total,231905,75991,85492,31728,25624,8963,3149,662,296
2011,Hampshire,E10000014,Total,545254,145623,204410,85066,76776,24164,6976,1525,714
2011,Kent,E10000016,Total,605638,174331,214222,94275,81350,28810,9622,1999,1029
2011,Oxfordshire,E10000025,Total,258855,70834,91583,41103,37781,12194,3942,878,540
2011,Surrey,E10000030,Total,455791,124431,156622,72413,71536,22844,6150,1203,592
2011,West Sussex,E10000032,Total,345614,106784,123540,50665,44912,14156,4320,815,422
2011,Bath and North East Somerset,E06000022,Total,73515,22535,26034,10483,9959,3327,908,183,86
2011,Bournemouth,E06000028,Total,82374,30390,27575,11034,8664,3163,1135,252,161
2011,"Bristol, City of",E06000023,Total,182747,61607,60565,26593,21192,7932,3326,872,660
2011,Cornwall,E06000052,Total,230389,69269,87823,33313,26863,9046,3146,604,325
2011,Isles of Scilly,E06000053,Total,989,336,378,122,114,32,4,1,2
2011,North Somerset,E06000024,Total,88227,27115,33000,12468,11081,3406,900,156,101
2011,Plymouth,E06000026,Total,109307,34317,38502,16644,12859,4667,1671,381,266
2011,Poole,E06000029,Total,63530,19134,23517,9589,7772,2492,745,183,98
2011,South Gloucestershire,E06000025,Total,107538,28554,38898,17056,16507,4961,1228,238,96
2011,Swindon,E06000030,Total,88360,26143,30472,14261,11989,3813,1176,316,190
2011,Torbay,E06000027,Total,59010,20192,21959,7953,5879,2108,689,149,81
2011,Wiltshire,E06000054,Total,194194,51845,74250,30011,26671,8556,2239,423,199
2011,Devon,E10000008,Total,322644,97945,124941,44313,37473,12779,3928,826,439
2011,Dorset,E10000009,Total,180213,53769,72193,24424,20517,6801,1976,365,168
2011,Gloucestershire,E10000013,Total,254615,75945,94118,36901,32783,10807,3044,671,346
2011,Somerset,E10000027,Total,226989,67537,86569,32602,27550,9216,2683,567,265
2011,Isle of Anglesey,W06000001,Total,30594,9888,10941,4380,3541,1365,369,75,35
2011,Gwynedd,W06000002,Total,52473,18548,17299,6990,5954,2535,844,195,108
2011,Conwy,W06000003,Total,51177,17297,18668,6881,5529,1977,636,127,62
2011,Denbighshire,W06000004,Total,40546,12714,14668,5783,4890,1722,565,150,54
2011,Flintshire,W06000005,Total,63781,17477,23014,10427,8845,2947,834,166,71
2011,Wrexham,W06000006,Total,57029,16817,19782,9421,7708,2383,687,156,75
2011,Powys,W06000023,Total,58345,18359,22160,7770,6562,2515,746,159,74
2011,Ceredigion,W06000008,Total,31562,10456,11257,4267,3413,1399,539,137,94
2011,Pembrokeshire,W06000009,Total,53122,16392,19972,7352,6153,2303,744,141,65
2011,Carmarthenshire,W06000010,Total,78829,23770,28636,12131,9558,3366,1047,211,110
2011,Swansea,W06000011,Total,103497,34485,34757,15533,12524,4308,1367,352,171
2011,Neath Port Talbot,W06000012,Total,60393,18259,20910,10326,7835,2317,583,120,43
2011,Bridgend,W06000013,Total,58515,16472,20919,10151,7791,2423,596,114,49
2011,Vale of Glamorgan,W06000014,Total,53505,15851,18868,8654,6988,2357,609,129,49
2011,Cardiff,W06000015,Total,142557,47141,45206,21363,17882,6828,2754,800,583
2011,Rhondda Cynon Taff,W06000016,Total,99663,29875,33674,17205,13365,4102,1153,198,91
2011,Merthyr Tydfil,W06000024,Total,24264,6559,8321,4454,3441,1074,309,80,26
2011,Caerphilly,W06000018,Total,74479,20196,26235,13195,10278,3440,878,171,86
2011,Blaenau Gwent,W06000019,Total,30416,9608,10185,5364,3716,1103,346,63,31
2011,Torfaen,W06000020,Total,38524,11163,13408,6547,5156,1641,469,75,65
2011,Monmouthshire,W06000021,Total,38233,10592,14388,5862,5084,1686,477,82,62
2011,Newport,W06000022,Total,61172,18849,20359,9596,8065,2920,1046,210,127
